name	path	emotion
['Ses02F', 'impro05', 'M009']	IEMOCAP_mp3/Ses02F_impro05_M009_neu.mp3	negative
['Ses02F', 'impro08', 'F003']	IEMOCAP_mp3/Ses02F_impro08_F003_neu.mp3	negative
['Ses04M', 'impro02', 'M030']	IEMOCAP_mp3/Ses04M_impro02_M030_fru.mp3	negative
['Ses04F', 'script02', '2', 'M013']	IEMOCAP_mp3/Ses04F_script02_2_M013_fru.mp3	negative
['Ses02M', 'script01', '1', 'M041']	IEMOCAP_mp3/Ses02M_script01_1_M041_sad.mp3	negative
['Ses04F', 'impro04', 'M001']	IEMOCAP_mp3/Ses04F_impro04_M001_neu.mp3	negative
['Ses01F', 'impro06', 'F008']	IEMOCAP_mp3/Ses01F_impro06_F008_sad.mp3	negative
['Ses05F', 'script01', '3', 'F006']	IEMOCAP_mp3/Ses05F_script01_3_F006_sad.mp3	negative
['Ses02M', 'impro01', 'F014']	IEMOCAP_mp3/Ses02M_impro01_F014_fru.mp3	negative
['Ses05F', 'impro07', 'F000']	IEMOCAP_mp3/Ses05F_impro07_F000_exc.mp3	negative
['Ses02M', 'script02', '2', 'F012']	IEMOCAP_mp3/Ses02M_script02_2_F012_fru.mp3	negative
['Ses04M', 'script03', '2', 'F034']	IEMOCAP_mp3/Ses04M_script03_2_F034_ang.mp3	positive
['Ses01F', 'script02', '1', 'M009']	IEMOCAP_mp3/Ses01F_script02_1_M009_neu.mp3	negative
['Ses04F', 'impro08', 'M019']	IEMOCAP_mp3/Ses04F_impro08_M019_ang.mp3	positive
['Ses02M', 'script02', '2', 'M023']	IEMOCAP_mp3/Ses02M_script02_2_M023_neu.mp3	negative
['Ses04F', 'script03', '2', 'M037']	IEMOCAP_mp3/Ses04F_script03_2_M037_ang.mp3	positive
['Ses05F', 'impro07', 'F037']	IEMOCAP_mp3/Ses05F_impro07_F037_exc.mp3	negative
['Ses01M', 'script03', '1', 'F007']	IEMOCAP_mp3/Ses01M_script03_1_F007_exc.mp3	negative
['Ses02M', 'script01', '2', 'M005']	IEMOCAP_mp3/Ses02M_script01_2_M005_neu.mp3	negative
['Ses05M', 'script03', '2', 'M037']	IEMOCAP_mp3/Ses05M_script03_2_M037_ang.mp3	positive
['Ses05M', 'impro06', 'M004']	IEMOCAP_mp3/Ses05M_impro06_M004_sad.mp3	negative
['Ses01F', 'script01', '1', 'F025']	IEMOCAP_mp3/Ses01F_script01_1_F025_fru.mp3	negative
['Ses05F', 'script01', '1', 'F035']	IEMOCAP_mp3/Ses05F_script01_1_F035_fru.mp3	negative
['Ses02M', 'impro03', 'F028']	IEMOCAP_mp3/Ses02M_impro03_F028_exc.mp3	negative
['Ses01F', 'script03', '2', 'F016']	IEMOCAP_mp3/Ses01F_script03_2_F016_ang.mp3	positive
['Ses02F', 'impro02', 'M012']	IEMOCAP_mp3/Ses02F_impro02_M012_sad.mp3	negative
['Ses02F', 'impro01', 'M009']	IEMOCAP_mp3/Ses02F_impro01_M009_fru.mp3	negative
['Ses05F', 'impro04', 'F029']	IEMOCAP_mp3/Ses05F_impro04_F029_fru.mp3	negative
['Ses02M', 'impro01', 'M010']	IEMOCAP_mp3/Ses02M_impro01_M010_ang.mp3	positive
['Ses03F', 'script03', '1', 'M007']	IEMOCAP_mp3/Ses03F_script03_1_M007_exc.mp3	negative
['Ses03M', 'script02', '2', 'F047']	IEMOCAP_mp3/Ses03M_script02_2_F047_hap.mp3	negative
['Ses05F', 'impro05', 'M046']	IEMOCAP_mp3/Ses05F_impro05_M046_fru.mp3	negative
['Ses03M', 'impro03', 'F033']	IEMOCAP_mp3/Ses03M_impro03_F033_hap.mp3	negative
['Ses03M', 'impro04', 'M008']	IEMOCAP_mp3/Ses03M_impro04_M008_ang.mp3	positive
['Ses04F', 'script02', '2', 'M000']	IEMOCAP_mp3/Ses04F_script02_2_M000_neu.mp3	negative
['Ses03M', 'script02', '2', 'F049']	IEMOCAP_mp3/Ses03M_script02_2_F049_hap.mp3	negative
['Ses05F', 'impro04', 'M028']	IEMOCAP_mp3/Ses05F_impro04_M028_neu.mp3	negative
['Ses05F', 'impro08', 'M023']	IEMOCAP_mp3/Ses05F_impro08_M023_fru.mp3	negative
['Ses03M', 'script02', '2', 'F048']	IEMOCAP_mp3/Ses03M_script02_2_F048_hap.mp3	negative
['Ses03M', 'impro02', 'F019']	IEMOCAP_mp3/Ses03M_impro02_F019_fru.mp3	negative
['Ses05F', 'impro05', 'M027']	IEMOCAP_mp3/Ses05F_impro05_M027_fru.mp3	negative
['Ses05F', 'impro04', 'M012']	IEMOCAP_mp3/Ses05F_impro04_M012_neu.mp3	negative
['Ses03M', 'impro05b', 'F019']	IEMOCAP_mp3/Ses03M_impro05b_F019_neu.mp3	negative
['Ses05M', 'script03', '2', 'M020']	IEMOCAP_mp3/Ses05M_script03_2_M020_ang.mp3	positive
['Ses03M', 'impro03', 'M015']	IEMOCAP_mp3/Ses03M_impro03_M015_hap.mp3	negative
['Ses05F', 'script02', '2', 'M037']	IEMOCAP_mp3/Ses05F_script02_2_M037_hap.mp3	negative
['Ses04F', 'impro05', 'M023']	IEMOCAP_mp3/Ses04F_impro05_M023_fru.mp3	negative
['Ses01M', 'impro03', 'F025']	IEMOCAP_mp3/Ses01M_impro03_F025_exc.mp3	negative
['Ses04F', 'impro05', 'F014']	IEMOCAP_mp3/Ses04F_impro05_F014_ang.mp3	positive
['Ses01F', 'script03', '2', 'F026']	IEMOCAP_mp3/Ses01F_script03_2_F026_ang.mp3	positive
['Ses02F', 'script03', '1', 'F029']	IEMOCAP_mp3/Ses02F_script03_1_F029_exc.mp3	negative
['Ses04M', 'impro06', 'M010']	IEMOCAP_mp3/Ses04M_impro06_M010_sad.mp3	negative
['Ses02M', 'impro04', 'M015']	IEMOCAP_mp3/Ses02M_impro04_M015_fru.mp3	negative
['Ses04F', 'impro07', 'F013']	IEMOCAP_mp3/Ses04F_impro07_F013_exc.mp3	negative
['Ses04F', 'script01', '2', 'F016']	IEMOCAP_mp3/Ses04F_script01_2_F016_ang.mp3	positive
['Ses04F', 'script03', '1', 'M027']	IEMOCAP_mp3/Ses04F_script03_1_M027_neu.mp3	negative
['Ses01F', 'impro05', 'F005']	IEMOCAP_mp3/Ses01F_impro05_F005_fru.mp3	negative
['Ses05F', 'impro04', 'M000']	IEMOCAP_mp3/Ses05F_impro04_M000_neu.mp3	negative
['Ses05F', 'impro02', 'M032']	IEMOCAP_mp3/Ses05F_impro02_M032_sad.mp3	negative
['Ses01F', 'impro05', 'M010']	IEMOCAP_mp3/Ses01F_impro05_M010_neu.mp3	negative
['Ses03M', 'impro05b', 'M019']	IEMOCAP_mp3/Ses03M_impro05b_M019_neu.mp3	negative
['Ses02M', 'impro04', 'F007']	IEMOCAP_mp3/Ses02M_impro04_F007_neu.mp3	negative
['Ses03F', 'script02', '2', 'F044']	IEMOCAP_mp3/Ses03F_script02_2_F044_hap.mp3	negative
['Ses01F', 'script01', '3', 'M032']	IEMOCAP_mp3/Ses01F_script01_3_M032_sad.mp3	negative
['Ses01F', 'impro06', 'M002']	IEMOCAP_mp3/Ses01F_impro06_M002_neu.mp3	negative
['Ses05M', 'impro04', 'F008']	IEMOCAP_mp3/Ses05M_impro04_F008_neu.mp3	negative
['Ses02M', 'script01', '1', 'M030']	IEMOCAP_mp3/Ses02M_script01_1_M030_fru.mp3	negative
['Ses05M', 'impro07', 'M006']	IEMOCAP_mp3/Ses05M_impro07_M006_exc.mp3	negative
['Ses01F', 'script02', '1', 'M002']	IEMOCAP_mp3/Ses01F_script02_1_M002_exc.mp3	negative
['Ses04F', 'impro07', 'M076']	IEMOCAP_mp3/Ses04F_impro07_M076_neu.mp3	negative
['Ses04M', 'script03', '2', 'F052']	IEMOCAP_mp3/Ses04M_script03_2_F052_ang.mp3	positive
['Ses03M', 'script02', '1', 'M024']	IEMOCAP_mp3/Ses03M_script02_1_M024_exc.mp3	negative
['Ses02F', 'script03', '1', 'M022']	IEMOCAP_mp3/Ses02F_script03_1_M022_exc.mp3	negative
['Ses03M', 'impro01', 'M004']	IEMOCAP_mp3/Ses03M_impro01_M004_ang.mp3	positive
['Ses05F', 'impro02', 'F035']	IEMOCAP_mp3/Ses05F_impro02_F035_sad.mp3	negative
['Ses05M', 'impro01', 'M004']	IEMOCAP_mp3/Ses05M_impro01_M004_fru.mp3	negative
['Ses04M', 'impro05', 'F028']	IEMOCAP_mp3/Ses04M_impro05_F028_fru.mp3	negative
['Ses02F', 'script01', '3', 'M022']	IEMOCAP_mp3/Ses02F_script01_3_M022_sad.mp3	negative
['Ses02M', 'impro06', 'F008']	IEMOCAP_mp3/Ses02M_impro06_F008_sad.mp3	negative
['Ses04F', 'script03', '1', 'M007']	IEMOCAP_mp3/Ses04F_script03_1_M007_exc.mp3	negative
['Ses05M', 'impro08', 'M008']	IEMOCAP_mp3/Ses05M_impro08_M008_neu.mp3	negative
['Ses03M', 'impro02', 'M022']	IEMOCAP_mp3/Ses03M_impro02_M022_fru.mp3	negative
['Ses04M', 'impro06', 'F015']	IEMOCAP_mp3/Ses04M_impro06_F015_sad.mp3	negative
['Ses04F', 'script02', '2', 'M039']	IEMOCAP_mp3/Ses04F_script02_2_M039_fru.mp3	negative
['Ses05M', 'script01', '1', 'M021']	IEMOCAP_mp3/Ses05M_script01_1_M021_ang.mp3	positive
['Ses05F', 'script02', '2', 'M025']	IEMOCAP_mp3/Ses05F_script02_2_M025_ang.mp3	positive
['Ses05F', 'script02', '2', 'M013']	IEMOCAP_mp3/Ses05F_script02_2_M013_fru.mp3	negative
['Ses04M', 'impro07', 'F017']	IEMOCAP_mp3/Ses04M_impro07_F017_exc.mp3	negative
['Ses04F', 'script01', '1', 'M019']	IEMOCAP_mp3/Ses04F_script01_1_M019_fru.mp3	negative
['Ses04M', 'impro02', 'F020']	IEMOCAP_mp3/Ses04M_impro02_F020_sad.mp3	negative
['Ses05F', 'impro01', 'F019']	IEMOCAP_mp3/Ses05F_impro01_F019_fru.mp3	negative
['Ses03M', 'impro08a', 'F016']	IEMOCAP_mp3/Ses03M_impro08a_F016_fru.mp3	negative
['Ses03M', 'script02', '2', 'F031']	IEMOCAP_mp3/Ses03M_script02_2_F031_ang.mp3	positive
['Ses05M', 'impro05', 'F007']	IEMOCAP_mp3/Ses05M_impro05_F007_neu.mp3	negative
['Ses04F', 'script03', '1', 'F023']	IEMOCAP_mp3/Ses04F_script03_1_F023_exc.mp3	negative
['Ses03M', 'impro07', 'F003']	IEMOCAP_mp3/Ses03M_impro07_F003_sur.mp3	negative
['Ses03M', 'impro05b', 'M008']	IEMOCAP_mp3/Ses03M_impro05b_M008_ang.mp3	positive
['Ses04M', 'impro05', 'M040']	IEMOCAP_mp3/Ses04M_impro05_M040_fru.mp3	negative
['Ses03F', 'script01', '3', 'M043']	IEMOCAP_mp3/Ses03F_script01_3_M043_sad.mp3	negative
['Ses05F', 'impro05', 'M008']	IEMOCAP_mp3/Ses05F_impro05_M008_neu.mp3	negative
['Ses04F', 'impro07', 'F031']	IEMOCAP_mp3/Ses04F_impro07_F031_exc.mp3	negative
['Ses05M', 'impro08', 'F012']	IEMOCAP_mp3/Ses05M_impro08_F012_neu.mp3	negative
['Ses01M', 'script03', '2', 'F034']	IEMOCAP_mp3/Ses01M_script03_2_F034_ang.mp3	positive
['Ses01M', 'impro01', 'M001']	IEMOCAP_mp3/Ses01M_impro01_M001_fru.mp3	negative
['Ses01M', 'script03', '2', 'M031']	IEMOCAP_mp3/Ses01M_script03_2_M031_ang.mp3	positive
['Ses04F', 'impro01', 'M006']	IEMOCAP_mp3/Ses04F_impro01_M006_fru.mp3	negative
['Ses03F', 'impro01', 'F006']	IEMOCAP_mp3/Ses03F_impro01_F006_fru.mp3	negative
['Ses03F', 'impro05', 'M002']	IEMOCAP_mp3/Ses03F_impro05_M002_fru.mp3	negative
['Ses05F', 'impro03', 'M046']	IEMOCAP_mp3/Ses05F_impro03_M046_exc.mp3	negative
['Ses05F', 'impro03', 'F004']	IEMOCAP_mp3/Ses05F_impro03_F004_exc.mp3	negative
['Ses05M', 'script02', '1', 'M021']	IEMOCAP_mp3/Ses05M_script02_1_M021_exc.mp3	negative
['Ses03M', 'impro05b', 'M017']	IEMOCAP_mp3/Ses03M_impro05b_M017_fru.mp3	negative
['Ses03F', 'script02', '2', 'F039']	IEMOCAP_mp3/Ses03F_script02_2_F039_sad.mp3	negative
['Ses05M', 'impro07', 'F045']	IEMOCAP_mp3/Ses05M_impro07_F045_hap.mp3	negative
['Ses02M', 'impro02', 'F004']	IEMOCAP_mp3/Ses02M_impro02_F004_sad.mp3	negative
['Ses05M', 'impro03', 'F000']	IEMOCAP_mp3/Ses05M_impro03_F000_neu.mp3	negative
['Ses04M', 'impro07', 'M014']	IEMOCAP_mp3/Ses04M_impro07_M014_exc.mp3	negative
['Ses05F', 'impro07', 'M018']	IEMOCAP_mp3/Ses05F_impro07_M018_exc.mp3	negative
['Ses05M', 'script03', '2', 'F002']	IEMOCAP_mp3/Ses05M_script03_2_F002_neu.mp3	negative
['Ses02M', 'script02', '2', 'M021']	IEMOCAP_mp3/Ses02M_script02_2_M021_neu.mp3	negative
['Ses04F', 'impro04', 'M002']	IEMOCAP_mp3/Ses04F_impro04_M002_neu.mp3	negative
['Ses02F', 'impro03', 'F027']	IEMOCAP_mp3/Ses02F_impro03_F027_hap.mp3	negative
['Ses01F', 'script02', '2', 'F047']	IEMOCAP_mp3/Ses01F_script02_2_F047_neu.mp3	negative
['Ses02F', 'script03', '2', 'M009']	IEMOCAP_mp3/Ses02F_script03_2_M009_neu.mp3	negative
['Ses05F', 'impro04', 'M025']	IEMOCAP_mp3/Ses05F_impro04_M025_neu.mp3	negative
['Ses04M', 'impro05', 'F003']	IEMOCAP_mp3/Ses04M_impro05_F003_neu.mp3	negative
['Ses05F', 'script01', '3', 'M034']	IEMOCAP_mp3/Ses05F_script01_3_M034_sad.mp3	negative
['Ses03F', 'script02', '2', 'M003']	IEMOCAP_mp3/Ses03F_script02_2_M003_fru.mp3	negative
['Ses05F', 'impro07', 'M015']	IEMOCAP_mp3/Ses05F_impro07_M015_exc.mp3	negative
['Ses02M', 'impro02', 'F005']	IEMOCAP_mp3/Ses02M_impro02_F005_sad.mp3	negative
['Ses01F', 'script03', '2', 'F028']	IEMOCAP_mp3/Ses01F_script03_2_F028_ang.mp3	positive
['Ses01M', 'script03', '2', 'F022']	IEMOCAP_mp3/Ses01M_script03_2_F022_ang.mp3	positive
['Ses05F', 'impro04', 'F005']	IEMOCAP_mp3/Ses05F_impro04_F005_fru.mp3	negative
['Ses05F', 'script03', '2', 'F018']	IEMOCAP_mp3/Ses05F_script03_2_F018_ang.mp3	positive
['Ses04M', 'script01', '1', 'F022']	IEMOCAP_mp3/Ses04M_script01_1_F022_ang.mp3	positive
['Ses05F', 'impro06', 'M025']	IEMOCAP_mp3/Ses05F_impro06_M025_neu.mp3	negative
['Ses03M', 'script01', '2', 'M008']	IEMOCAP_mp3/Ses03M_script01_2_M008_neu.mp3	negative
['Ses02F', 'impro01', 'F007']	IEMOCAP_mp3/Ses02F_impro01_F007_fru.mp3	negative
['Ses04F', 'impro04', 'F014']	IEMOCAP_mp3/Ses04F_impro04_F014_ang.mp3	positive
['Ses02F', 'script01', '1', 'F017']	IEMOCAP_mp3/Ses02F_script01_1_F017_sad.mp3	negative
['Ses04F', 'impro04', 'M027']	IEMOCAP_mp3/Ses04F_impro04_M027_fru.mp3	negative
['Ses05M', 'impro01', 'F023']	IEMOCAP_mp3/Ses05M_impro01_F023_ang.mp3	positive
['Ses03M', 'script02', '2', 'F029']	IEMOCAP_mp3/Ses03M_script02_2_F029_fru.mp3	negative
['Ses04M', 'script01', '2', 'F003']	IEMOCAP_mp3/Ses04M_script01_2_F003_ang.mp3	positive
['Ses05F', 'impro02', 'M016']	IEMOCAP_mp3/Ses05F_impro02_M016_fru.mp3	negative
['Ses03M', 'impro08a', 'M027']	IEMOCAP_mp3/Ses03M_impro08a_M027_neu.mp3	negative
['Ses01M', 'script03', '2', 'F039']	IEMOCAP_mp3/Ses01M_script03_2_F039_ang.mp3	positive
['Ses04F', 'impro07', 'F014']	IEMOCAP_mp3/Ses04F_impro07_F014_exc.mp3	negative
['Ses05M', 'script01', '1', 'M030']	IEMOCAP_mp3/Ses05M_script01_1_M030_fru.mp3	negative
['Ses03F', 'script03', '2', 'M042']	IEMOCAP_mp3/Ses03F_script03_2_M042_ang.mp3	positive
['Ses05M', 'impro04', 'F012']	IEMOCAP_mp3/Ses05M_impro04_F012_neu.mp3	negative
['Ses02M', 'impro08', 'M013']	IEMOCAP_mp3/Ses02M_impro08_M013_neu.mp3	negative
['Ses05M', 'impro07', 'M005']	IEMOCAP_mp3/Ses05M_impro07_M005_exc.mp3	negative
['Ses01M', 'impro07', 'M033']	IEMOCAP_mp3/Ses01M_impro07_M033_hap.mp3	negative
['Ses04M', 'script02', '2', 'F012']	IEMOCAP_mp3/Ses04M_script02_2_F012_fru.mp3	negative
['Ses05M', 'script03', '2', 'F042']	IEMOCAP_mp3/Ses05M_script03_2_F042_ang.mp3	positive
['Ses05M', 'impro02', 'M022']	IEMOCAP_mp3/Ses05M_impro02_M022_sad.mp3	negative
['Ses05F', 'script01', '1', 'M035']	IEMOCAP_mp3/Ses05F_script01_1_M035_ang.mp3	positive
['Ses02M', 'script02', '1', 'M028']	IEMOCAP_mp3/Ses02M_script02_1_M028_exc.mp3	negative
['Ses04F', 'impro07', 'M020']	IEMOCAP_mp3/Ses04F_impro07_M020_neu.mp3	negative
['Ses01M', 'impro04', 'M015']	IEMOCAP_mp3/Ses01M_impro04_M015_fru.mp3	negative
['Ses03M', 'impro08a', 'M022']	IEMOCAP_mp3/Ses03M_impro08a_M022_neu.mp3	negative
['Ses05M', 'impro07', 'M043']	IEMOCAP_mp3/Ses05M_impro07_M043_exc.mp3	negative
['Ses04M', 'script01', '1', 'F010']	IEMOCAP_mp3/Ses04M_script01_1_F010_fru.mp3	negative
['Ses03M', 'script01', '1', 'M014']	IEMOCAP_mp3/Ses03M_script01_1_M014_fru.mp3	negative
['Ses05F', 'impro08', 'F021']	IEMOCAP_mp3/Ses05F_impro08_F021_neu.mp3	negative
['Ses04M', 'impro08', 'M021']	IEMOCAP_mp3/Ses04M_impro08_M021_neu.mp3	negative
['Ses04F', 'script01', '3', 'M033']	IEMOCAP_mp3/Ses04F_script01_3_M033_sad.mp3	negative
['Ses04M', 'impro04', 'M006']	IEMOCAP_mp3/Ses04M_impro04_M006_fru.mp3	negative
['Ses05M', 'script01', '1b', 'F022']	IEMOCAP_mp3/Ses05M_script01_1b_F022_neu.mp3	negative
['Ses05M', 'script01', '3', 'F007']	IEMOCAP_mp3/Ses05M_script01_3_F007_neu.mp3	negative
['Ses01F', 'script01', '3', 'F014']	IEMOCAP_mp3/Ses01F_script01_3_F014_neu.mp3	negative
['Ses05M', 'impro05', 'F005']	IEMOCAP_mp3/Ses05M_impro05_F005_neu.mp3	negative
['Ses02F', 'impro08', 'M009']	IEMOCAP_mp3/Ses02F_impro08_M009_neu.mp3	negative
['Ses04F', 'impro04', 'F012']	IEMOCAP_mp3/Ses04F_impro04_F012_fru.mp3	negative
['Ses04M', 'impro05', 'M008']	IEMOCAP_mp3/Ses04M_impro05_M008_ang.mp3	positive
['Ses01F', 'script02', '2', 'F044']	IEMOCAP_mp3/Ses01F_script02_2_F044_hap.mp3	negative
['Ses04F', 'impro07', 'M070']	IEMOCAP_mp3/Ses04F_impro07_M070_exc.mp3	negative
['Ses01F', 'script01', '1', 'F022']	IEMOCAP_mp3/Ses01F_script01_1_F022_fru.mp3	negative
['Ses05M', 'script03', '1', 'M033']	IEMOCAP_mp3/Ses05M_script03_1_M033_exc.mp3	negative
['Ses01F', 'script02', '1', 'M024']	IEMOCAP_mp3/Ses01F_script02_1_M024_neu.mp3	negative
['Ses01M', 'impro07', 'F000']	IEMOCAP_mp3/Ses01M_impro07_F000_neu.mp3	negative
['Ses03F', 'script01', '2', 'F015']	IEMOCAP_mp3/Ses03F_script01_2_F015_ang.mp3	positive
['Ses03F', 'script01', '3', 'M020']	IEMOCAP_mp3/Ses03F_script01_3_M020_hap.mp3	negative
